Whale,ID,Samp.No,d15N, d13C,Spp,Year,Day
KC7,1,74,8.63,-17.5,blue,1888,169
KC7,1,75,8.52,-17.65,blue,1888,155
KC7,1,76,8.89,-17.7,blue,1888,141
KC7,1,77,8.8,-17.81,blue,1888,127
KC7,1,78,8.97,-17.65,blue,1888,113
KC7,1,79,8.92,-17.7,blue,1888,99
KC7,1,80,9.19,-17.77,blue,1888,85
KC7,1,81,8.92,-17.89,blue,1888,71
KC7,1,82,9.28,-17.84,blue,1888,57
KC7,1,83,10.45,-18.85,blue,1888,43
KC7,1,84,8.89,-17.62,blue,1888,29
KC7,1,85,8.62,-17.55,blue,1888,15
KC7,1,86,8.36,-17.56,blue,1888,1
KC7,1,87,8.36,-17.76,blue,1887,351
KC7,1,88,8.8,-17.63,blue,1887,337
KC7,1,89,8.79,-17.64,blue,1887,323
KC7,1,90,9.01,-17.66,blue,1887,309
KC7,1,91,9.19,-17.68,blue,1887,295
KC7,1,92,9.3,-17.67,blue,1887,281
KC7,1,93,9.3,-17.82,blue,1887,267
KC7,1,94,9.31,-17.65,blue,1887,253
KC7,1,95,9.4,-17.76,blue,1887,239
KC7,1,96,9.5,-17.77,blue,1887,225
KC7,1,97,9.56,-17.82,blue,1887,211
