NHMUK_ID,whale_ID,sample_cm,d15N, d13C,species
SW.1916.3,KC4,21,11.51,-17.17,Balaenoptera_physalus
SW.1916.3,KC4,22,11.71,-17.26,Balaenoptera_physalus
SW.1916.3,KC4,23,11.55,-17.13,Balaenoptera_physalus
SW.1916.3,KC4,24,11.44,-17.16,Balaenoptera_physalus
SW.1916.3,KC4,25,10.95,-16.84,Balaenoptera_physalus
SW.1916.3,KC4,26,13.34,-17.01,Balaenoptera_physalus
SW.1916.3,KC4,27,13.74,-17.1,Balaenoptera_physalus
SW.1916.3,KC4,28,14.11,-17.16,Balaenoptera_physalus
SW.1916.3,KC4,29,13.37,-17,Balaenoptera_physalus
SW.1916.3,KC4,30,12.96,-16.87,Balaenoptera_physalus
SW.1916.3,KC4,31,11.71,-16.87,Balaenoptera_physalus
SW.1916.3,KC4,32,11.86,-16.39,Balaenoptera_physalus
SW.1916.3,KC4,33,11.65,-16.28,Balaenoptera_physalus
SW.1916.3,KC4,34,11.06,-16.39,Balaenoptera_physalus
SW.1916.3,KC4,35,10.89,-16.43,Balaenoptera_physalus
SW.1916.3,KC4,36,10.32,-16.57,Balaenoptera_physalus
SW.1916.3,KC4,37,10.83,-16.47,Balaenoptera_physalus
SW.1916.3,KC4,38,10.36,-16.46,Balaenoptera_physalus
SW.1916.3,KC4,39,10.83,-16.45,Balaenoptera_physalus
SW.1916.3,KC4,40,11.28,-17.02,Balaenoptera_physalus
SW.1916.3,KC4,41,11.03,-16.76,Balaenoptera_physalus
SW.1916.3,KC4,42,11.3,-17.07,Balaenoptera_physalus
SW.1916.3,KC4,43,11.48,-16.92,Balaenoptera_physalus
SW.1916.3,KC4,44,11.54,-16.92,Balaenoptera_physalus
SW.1916.3,KC4,45,11.54,-17.01,Balaenoptera_physalus
SW.1916.3,KC4,46,11.32,-16.94,Balaenoptera_physalus
SW.1916.3,KC4,47,11.83,-17.05,Balaenoptera_physalus
SW.1916.3,KC4,48,11.37,-16.94,Balaenoptera_physalus
SW.1914.49,KC5,1,10.03,-17.42,Balaenoptera_physalus
SW.1914.49,KC5,2,10.6,-17.18,Balaenoptera_physalus
SW.1914.49,KC5,3,10.67,-16.99,Balaenoptera_physalus
SW.1914.49,KC5,4,10.6,-17,Balaenoptera_physalus
SW.1914.49,KC5,5,10.89,-17.17,Balaenoptera_physalus
SW.1914.49,KC5,6,11.45,-16.97,Balaenoptera_physalus
SW.1914.49,KC5,7,11.57,-16.95,Balaenoptera_physalus
SW.1914.49,KC5,8,11.58,-16.9,Balaenoptera_physalus
SW.1914.49,KC5,9,11.43,-16.99,Balaenoptera_physalus
SW.1914.49,KC5,10,11.48,-17.22,Balaenoptera_physalus
SW.1914.49,KC5,11,11.61,-17.38,Balaenoptera_physalus
SW.1914.49,KC5,12,11.75,-17.63,Balaenoptera_physalus
SW.1914.49,KC5,13,11.72,-17.77,Balaenoptera_physalus
SW.1914.49,KC5,14,11.95,-17.99,Balaenoptera_physalus
SW.1914.49,KC5,15,11.97,-17.97,Balaenoptera_physalus
SW.1914.49,KC5,16,11.9,-18.03,Balaenoptera_physalus
SW.1914.49,KC5,17,12,-18.05,Balaenoptera_physalus
SW.1914.49,KC5,18,12.19,-18.13,Balaenoptera_physalus
SW.1914.49,KC5,19,12.07,-18.14,Balaenoptera_physalus
SW.1914.49,KC5,20,11.92,-18.04,Balaenoptera_physalus
SW.1914.49,KC5,21,12.02,-18.18,Balaenoptera_physalus
SW.1914.49,KC5,22,12.51,-18.07,Balaenoptera_physalus
SW.1914.49,KC5,23,12.72,-18.02,Balaenoptera_physalus
SW.1914.49,KC5,24,12.81,-17.98,Balaenoptera_physalus
SW.1914.49,KC5,25,13.16,-18,Balaenoptera_physalus
SW.1914.49,KC5,26,13.19,-18.07,Balaenoptera_physalus
SW.1914.49,KC5,27,13.28,-17.96,Balaenoptera_physalus
SW.1914.49,KC5,28,13.32,-18.12,Balaenoptera_physalus
SW.1914.49,KC5,29,13.29,-18.18,Balaenoptera_physalus
SW.1923.5,KC6,1,9.83,-17.53,Balaenoptera_physalus
SW.1923.6,KC6,2,8.94,-17.61,Balaenoptera_physalus
SW.1923.7,KC6,3,8.71,-17.83,Balaenoptera_physalus
SW.1923.8,KC6,4,7.67,-18.08,Balaenoptera_physalus
SW.1923.9,KC6,5,8.03,-18.04,Balaenoptera_physalus
SW.1923.10,KC6,6,7.48,-18.09,Balaenoptera_physalus
SW.1923.11,KC6,7,8.06,-17.59,Balaenoptera_physalus
SW.1923.12,KC6,8,8.8,-17.09,Balaenoptera_physalus
SW.1923.13,KC6,9,10.11,-17.27,Balaenoptera_physalus
SW.1923.14,KC6,10,10.47,-17.41,Balaenoptera_physalus
SW.1923.15,KC6,11,10.24,-17.24,Balaenoptera_physalus
SW.1923.16,KC6,12,9.26,-17.27,Balaenoptera_physalus
SW.1923.17,KC6,13,8.34,-17.68,Balaenoptera_physalus
SW.1923.18,KC6,14,9.01,-17.55,Balaenoptera_physalus
SW.1923.19,KC6,15,8.5,-17.39,Balaenoptera_physalus
SW.1923.20,KC6,16,9.48,-17.53,Balaenoptera_physalus
