"","Day.No","Lat","Lon","km.Lat","km.Lon","SST","Plk","d13C","direction","distance","B.state","Depth","Rep","Month","count"
"26",2,21,-116,7663.60810970909,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"S","4.60810970908599","F",-3572,6,1,1
"27",3,22,-116,7654.54330392311,6657.98252532157,21.0270075210939,6.34240819971115,-23.9101607122564,"SW","-10.653153412361","F",-3836,6,1,2
"28",4,22,-116,7654.54330392311,6657.98252532157,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","0","F",-3844,6,1,3
"29",5,22,-116,7654.54330392311,6657.98252532157,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","0","F",-3844,6,1,4
"30",6,22,-116,7642.15799546687,6670.3678337778,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","-14.555479086796","F",-3844,6,1,5
"31",2,21,-116,7659,6715.99574961967,22.3238796202376,8.19795984535147,-23.0312266019149,"W","-21.2066335862583","F",-3572,7,1,1
"32",3,21,-116,7659,6708.91879588093,21.0270075210939,6.34240819971115,-23.9101607122564,"W","7.07695373874051","F",-3836,7,1,2
"33",4,21,-116,7659,6708.91879588093,21.0270075210939,6.34240819971115,-23.9101607122564,"SE","0","F",-3836,7,1,3
"34",5,21,-116,7659,6708.91879588093,21.0270075210939,6.34240819971115,-23.9101607122564,"NW","14.8200588998336","F",-3836,7,1,4
"35",6,22,-115,7619.59463175448,6702.35595380291,21.0270075210939,6.34240819971115,-23.9101607122564,"SW","-46.310030584369","F",-3836,7,1,5
"36",2,22,-116,7636.48013289993,6626.39785243551,22.3238796202376,8.19795984535147,-23.0312266019149,"NW","26.4658289109813","F",-3572,8,1,1
"37",3,22,-116,7636.48013289993,6626.39785243551,20.1425125050701,6.25212900870331,-24.1668063576598,"S","0","F",-3844,8,1,2
"38",4,22,-116,7636.48013289993,6631.64478002299,20.1425125050701,6.25212900870331,-24.1668063576598,"E","5.24692758747161","F",-3844,8,1,3
"39",5,22,-116,7636.48013289993,6634.33352135011,20.1425125050701,6.25212900870331,-24.1668063576598,"W","-2.68874132712492","F",-3844,8,1,4
"40",6,22,-116,7636.48013289993,6634.33352135011,20.1425125050701,6.25212900870331,-24.1668063576598,"E","0","F",-3844,8,1,5
"41",2,21,-116,7659,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"S","0","F",-3572,9,1,1
"42",3,21,-116,7659,6694.78911603342,21.0270075210939,6.34240819971115,-23.9101607122564,"N","0","F",-3836,9,1,2
"43",4,22,-116,7653.05572802805,6648.91771953559,21.0270075210939,6.34240819971115,-23.9101607122564,"N","5.94427197194519","F",-3836,9,1,3
"44",5,22,-116,7641.19560757027,6660.77783999337,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","13.9382669313556","F",-3844,9,1,4
"45",6,22,-116,7634.48809532655,6667.48535223709,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","-7.88281168231558","F",-3844,9,1,5
"46",2,22,-116,7637.89262407286,6648.91771953559,22.3238796202376,8.19795984535147,-23.0312266019149,"N","21.1073759271434","F",-3572,10,1,1
"47",3,22,-116,7637.89262407286,6648.91771953559,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","0","F",-3844,10,1,2
"48",4,22,-116,7629.76224406426,6657.04809954418,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","9.55499627651312","F",-3844,10,1,3
"49",5,22,-116,7594.45124638271,6657.04809954418,20.1425125050701,6.25212900870331,-24.1668063576598,"S","-35.3109976815521","F",-3844,10,1,4
"50",6,22,-115,7569.21897370536,6682.28037222153,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","-29.6535058908894","F",-3844,10,1,5
